iter	Accuracy	Logloss
194	0.8342344415	0.3550037135
195	0.8351547222	0.354521767
196	0.8360750029	0.3537984082
197	0.836305073	0.3534051798
198	0.8369952836	0.3531744134
199	0.8369952836	0.3528728703
200	0.8371103186	0.3523926116
201	0.8378005292	0.35204531
202	0.8378005292	0.3513729717
203	0.8386057748	0.3508827008
204	0.8388358449	0.3506290693
205	0.8390659151	0.3503631682
206	0.83895088	0.3501036201
207	0.8391809502	0.3498840045
208	0.8392959853	0.3496021067
209	0.8394110204	0.3493717373
210	0.8390659151	0.3490404512
211	0.8388358449	0.3487127355
212	0.8387208098	0.348527958
213	0.8384907397	0.348185437
214	0.8384907397	0.3479007977
215	0.8387208098	0.3477150763
216	0.8390659151	0.3473928338
217	0.8392959853	0.3471548736
218	0.8398711607	0.3464842265
219	0.8394110204	0.346166291
220	0.8392959853	0.3458366796
221	0.8395260554	0.3456279781
222	0.8396410905	0.3452909505
223	0.8396410905	0.3448720162
224	0.840216266	0.3444076705
225	0.8409064765	0.3441996869
226	0.8411365466	0.3439233278
227	0.8410215116	0.3437378517
228	0.8412515817	0.3434304591
229	0.8412515817	0.3432512021
230	0.841596687	0.3429992963
231	0.8420568273	0.3426615535
232	0.8421718624	0.3423971946
233	0.8433222133	0.3418996668
234	0.8435522834	0.3416521865
235	0.8432071782	0.3412433222
236	0.8432071782	0.3408565821
237	0.8432071782	0.3405052599
238	0.8433222133	0.3403063055
239	0.842977108	0.3399666008
240	0.8432071782	0.3396322615
241	0.8432071782	0.3395121401
242	0.8433222133	0.3393099377
243	0.844242494	0.3389623781
244	0.8445875992	0.3385782733
245	0.8445875992	0.3382961716
246	0.8448176694	0.3380958893
247	0.8449327045	0.3378412168
248	0.8451627746	0.3374724066
249	0.8451627746	0.3372787687
250	0.8451627746	0.3369980483
251	0.8455078799	0.336712743
252	0.8453928448	0.3364090723
253	0.8455078799	0.3361365172
254	0.8455078799	0.3358124934
255	0.8457379501	0.3355613985
256	0.8459680202	0.3353072644
257	0.8458529852	0.334989624
258	0.8458529852	0.3348025527
259	0.8465431957	0.3345587443
260	0.8461980904	0.3343813414
261	0.847003336	0.3341161276
262	0.847003336	0.3339679652
263	0.8474634764	0.333626513
264	0.8475785114	0.3332586657
265	0.8475785114	0.3330727477
266	0.8478085816	0.3327843622
267	0.8479236167	0.3325129094
268	0.8473484413	0.3319729017
269	0.8474634764	0.3317945014
270	0.8479236167	0.3315369473
271	0.848383757	0.3312724192
272	0.8484987921	0.3309591584
273	0.8484987921	0.3306972555
274	0.848383757	0.330556774
275	0.848383757	0.3303201566
276	0.8486138272	0.3300522239
277	0.8493040377	0.3296659234
278	0.8490739676	0.3291434138
279	0.8488438974	0.3288858097
280	0.8493040377	0.3285819325
281	0.8494190728	0.3283274059
282	0.8494190728	0.3280625099
283	0.849649143	0.3277645996
284	0.849649143	0.3275239104
285	0.849649143	0.3272931079
286	0.8499942482	0.3271090235
287	0.8499942482	0.3269101068
288	0.8503393535	0.3265640788
289	0.8503393535	0.3264150225
290	0.8507994938	0.3261260552
291	0.8509145289	0.3259299322
292	0.8507994938	0.3256934459
293	0.851029564	0.3253775305
294	0.8511445991	0.3251719371
295	0.8512596342	0.3249023596
296	0.8512596342	0.324738749
297	0.851029564	0.3244914925
298	0.8512596342	0.3242841699
299	0.8513746693	0.3239370943
300	0.8512596342	0.3237921005
301	0.8516047394	0.3234590136
302	0.8520648798	0.323129224
303	0.8519498447	0.3228221325
304	0.8519498447	0.3225885334
305	0.8520648798	0.322166912
306	0.8521799149	0.3219099462
307	0.85229495	0.3215922432
308	0.8521799149	0.3214589446
309	0.85229495	0.3212573741
310	0.852409985	0.3210295578
311	0.8526400552	0.3208164914
312	0.8528701254	0.3205590203
313	0.8532152306	0.320430068
314	0.8534453008	0.3202060415
315	0.853675371	0.3199779479
